PLAYER,TEAM,NUMBER,POSITION,Height,Weight,LAST ATTENDED,COUNTRY,Position
"Hunter
Tyson",DEN,4,2,80,215,Clemson,USA,
"Stanley
Umude",DET,17,0,78,210,Arkansas,USA,
"Jonas
Valanciunas",NOP,17,4,83,265,Lietuvos rytas Vilnius,Lithuania,
"Fred
VanVleet",HOU,5,0,72,197,Wichita State,USA,
"Jarred
Vanderbilt",LAL,2,2,80,214,Kentucky,USA,
"Devin
Vassell",SAS,24,1,77,200,Florida State,USA,
"Sasha
Vezenkov",SAC,7,2,80,225,"Barcelona, Spain",Bulgaria,
"Gabe
Vincent",LAL,7,0,74,200,California-Santa Barbara,USA,
"Nikola
Vucevic",CHI,9,4,82,260,Southern California,Montenegro,
"Tristan
Vukcevic",WAS,0,2,82,220,Real Madrid,Italy,
"Dean
Wade",CLE,32,3,81,228,Kansas State,USA,
"Franz
Wagner",ORL,22,2,82,220,Michigan,Germany,
"Moritz
Wagner",ORL,21,3,83,245,Michigan,Germany,
"Ish
Wainright",PHX,12,2,77,250,Baylor,USA,
"Jabari
Walker",POR,34,2,79,227,Colorado,USA,
"Jarace
Walker",IND,5,2,79,235,Houston,USA,
"Lonnie
Walker IV",BKN,8,1,76,204,Miami,USA,
"Cason
Wallace",OKC,22,0,75,195,Kentucky,USA,
"Jordan
Walsh",BOS,27,0,78,205,Arkansas,USA,
"T.J.
Warren",MIN,24,2,80,220,North Carolina State,USA,
"P.J.
Washington",DAL,25,2,79,230,Kentucky,USA,
"Duane
Washington Jr.",NYK,1,0,74,197,Ohio State,Germany,
"TyTy
Washington Jr.",MIL,23,0,75,195,Kentucky,USA,
"Yuta
Watanabe",MEM,18,1,81,215,George Washington,Japan,
"Lindy
Waters III",OKC,12,2,78,210,Oklahoma State,USA,
"Trendon
Watford",BKN,9,2,80,237,Louisiana State,USA,
"Peyton
Watson",DEN,8,0,79,200,UCLA,USA,
"Victor
Wembanyama",SAS,1,3,88,210,Metropolitans 92,France,
"Blake
Wesley",SAS,14,0,75,185,Notre Dame,USA,
"Russell
Westbrook",LAC,0,0,76,200,UCLA,USA,
"Coby
White",CHI,0,0,77,195,North Carolina,USA,
"Derrick
White",BOS,9,0,76,190,Colorado,USA,
"Dariq
Whitehead",BKN,0,2,78,220,Duke,USA,
"Cam
Whitmore",HOU,7,2,79,230,Villanova,USA,
"Aaron
Wiggins",OKC,21,0,77,190,Maryland,USA,
"Andrew
Wiggins",GSW,22,2,79,197,Kansas,Canada,
"Alondes
Williams",MIA,15,0,76,210,Wake Forest,USA,
"Brandon
Williams",DAL,0,0,73,190,Arizona,USA,
"Grant
Williams",CHA,2,2,78,236,Tennessee,USA,
"Jalen
Williams",OKC,8,1,77,211,Santa Clara,USA,
"Jaylin
Williams",OKC,6,2,81,240,Arkansas,USA,
"Kenrich
Williams",OKC,34,1,78,210,TCU,USA,
"Malik
Williams",TOR,,4,83,250,Louisville,USA,
"Mark
Williams",CHA,5,4,84,240,Duke,USA,
"Nate
Williams",HOU,19,0,77,205,Buffalo,USA,
"Patrick
Williams",CHI,44,2,79,215,Florida State,USA,
"Ziaire
Williams",MEM,8,2,81,185,Stanford,USA,
"Robert
Williams III",POR,35,3,81,249,Texas A&M,USA,
"Vince
Williams Jr.",MEM,5,0,76,205,Virginia Commonwealth,USA,
"Zion
Williamson",NOP,1,2,78,284,Duke,USA,
"Jalen
Wilson",BKN,22,2,78,220,Kansas,USA,
"Dylan
Windler",ATL,20,1,79,196,Belmont,USA,
"James
Wiseman",DET,13,4,83,240,Memphis,USA,
"Isaiah
Wong",IND,21,0,75,185,Miami,USA,
"Christian
Wood",LAL,35,2,80,214,UNLV,USA,
"Delon
Wright",MIA,4,0,77,185,Utah,USA,
"Thaddeus
Young",PHX,30,2,80,225,Georgia Tech,USA,
"Trae
Young",ATL,11,0,73,164,Oklahoma,USA,
"Omer
Yurtseven",UTA,77,4,83,275,Georgetown,Turkey,
"Cody
Zeller",NOP,40,3,83,240,Indiana,USA,
"Ivica
Zubac",LAC,40,4,84,240,Mega Basket,Croatia,
AVERAGE ,,,,,215,,,
